平台,档案店铺ID,档案店铺名称,历史店铺名称,品牌,通用名,药品规格,商品ID,SKU,商品链接,历史价格,历史单盒价,盒数,采集日期,source_route
京东,W03547,奇冠大药房官方旗舰店,奇冠大药房官方旗舰店,欣速安,托伐普坦片,15mg*7片,10116210815224,,https://item.jd.com/10116210815224.html,211.89,211.89,1,,historical_link
京东,W03547,奇冠大药房官方旗舰店,奇冠大药房官方旗舰店,托妥,瑞舒伐他汀钙片,10mg*28片,66809443804,,https://item.jd.com/66809443804.html,16.8,16.8,1,,historical_link
京东,W03547,奇冠大药房官方旗舰店,奇冠大药房官方旗舰店,希佳,奥美沙坦酯片,20mg*7片,10128645470447,,https://item.jd.com/10128645470447.html,21.6,10.8,2,,historical_link
京东,W04557,上元堂大药房旗舰店,上元堂大药房旗舰店,希佳,奥美沙坦酯片,20mg*7片,10020343903147,,https://item.jd.com/10020343903147.html,115,11.5,10,,historical_link
京东,W04557,上元堂大药房旗舰店,上元堂大药房旗舰店,天舒平,奥美沙坦酯氨氯地平片,20mg:5mg*14片,10032838750590,,https://item.jd.com/10032838750590.html,13.2,13.2,1,,historical_link
京东,W04557,上元堂大药房旗舰店,上元堂大药房旗舰店,葛泰,地奥司明片,0.45g*20片,30686019248,,https://item.jd.com/30686019248.html,27.5,27.5,1,,historical_link
京东,W01549,康药师旗舰店,康药师旗舰店,欣速安,托伐普坦片,15mg*7片,10212026200722,,https://item.jd.com/10212026200722.html,1420,142,10,,historical_link
京东,W01549,康药师旗舰店,康药师旗舰店,品多,西格列汀二甲双胍缓释片,0.1g:1g*16片,10209384152056,,https://item.jd.com/10209384152056.html,57.8,57.8,1,,historical_link
京东,W01549,康药师旗舰店,康药师旗舰店,畅凡,芦比前列酮软胶囊,24μg*10粒,10212026894043,,https://item.jd.com/10212026894043.html,58.8,58.8,1,,historical_link
京东,W01027,高济再康大药房旗舰店,高济再康大药房旗舰店,欣速安,托伐普坦片,15mg*7片,10041982962216,,https://item.jd.com/10041982962216.html,211.96,211.96,1,,historical_link
京东,W01027,高济再康大药房旗舰店,高济再康大药房旗舰店,希佳,奥美沙坦酯片,20mg*14片,10026270173665,,https://item.jd.com/10026270173665.html,17.8,17.8,1,,historical_link
京东,W01027,高济再康大药房旗舰店,高济再康大药房旗舰店,葛泰,地奥司明片,0.45g*24片,72479658543,,https://item.jd.com/72479658543.html,24,24,1,,historical_link
京东,W06561,汇华强盛大药房旗舰店,汇华强盛大药房旗舰店,欣速安,托伐普坦片,15mg*7片,10167382509683,,https://item.jd.com/10167382509683.html,131,131,1,,historical_link
京东,W06561,汇华强盛大药房旗舰店,汇华强盛大药房旗舰店,依伦平,厄贝沙坦氢氯噻嗪片,0.15g:12.5mg*28片,10094884017655,,https://item.jd.com/10094884017655.html,25.76,25.76,1,,historical_link
京东,W06561,汇华强盛大药房旗舰店,汇华强盛大药房旗舰店,托妥,瑞舒伐他汀钙片,10mg*28片,10088623979746,,https://item.jd.com/10088623979746.html,50.4,16.8,3,,historical_link
京东,W06614,贝克大药房旗舰店,贝克大药房旗舰店,葛泰,地奥司明片,0.45g*20片,10028212264659,,https://item.jd.com/10028212264659.html,24.9,24.9,1,,historical_link
京东,W06614,贝克大药房旗舰店,贝克大药房旗舰店,托妥,瑞舒伐他汀钙片,10mg*28片,10044279182099,,https://item.jd.com/10044279182099.html,23.1,23.1,1,,historical_link
京东,W06614,贝克大药房旗舰店,贝克大药房旗舰店,优立维,硫酸氢氯吡格雷片,75mg*48片,10112439939307,,https://item.jd.com/10112439939307.html,54,54,1,,historical_link
京东,W03569,江苏省医药大药房旗舰店,江苏省医药大药房旗舰店,欣速安,托伐普坦片,15mg*7片,10090511581510,,https://item.jd.com/10090511581510.html,200,200,1,,historical_link
京东,W03569,江苏省医药大药房旗舰店,江苏省医药大药房旗舰店,葛泰,地奥司明片,0.45g*20片,10117293223720,,https://item.jd.com/10117293223720.html,18,18,1,,historical_link
京东,W03569,江苏省医药大药房旗舰店,江苏省医药大药房旗舰店,天舒平,奥美沙坦酯氨氯地平片,20mg:5mg*7片,10090511040886,,https://item.jd.com/10090511040886.html,8.9,8.9,1,,historical_link
京东,W05560,千百方大药房旗舰店,千百方大药房旗舰店,葛泰,地奥司明片,0.45g*20片,10134912614557,,https://item.jd.com/10134912614557.html,26.9,26.9,1,,historical_link
京东,W03785,金湖金普大药房官方旗舰店,金湖金普大药房官方旗舰店,托妥,瑞舒伐他汀钙片,10mg*28片,10131833668933,,https://item.jd.com/10131833668933.html,16.8,16.8,1,,historical_link
京东,W03785,金湖金普大药房官方旗舰店,金湖金普大药房官方旗舰店,依伦平,厄贝沙坦氢氯噻嗪片,0.15g:12.5mg*28片,10059018363133,,https://item.jd.com/10059018363133.html,28.56,28.56,1,,historical_link
京东,W03785,金湖金普大药房官方旗舰店,金湖金普大药房官方旗舰店,天舒平,奥美沙坦酯氨氯地平片,20mg:5mg*7片,10073738598593,,https://item.jd.com/10073738598593.html,6.9,6.9,1,,historical_link
京东,W02865,贵和祥大药房旗舰店,贵和祥大药房旗舰店,欣速安,托伐普坦片,15mg*7片,10131339284603,,https://item.jd.com/10131339284603.html,147,126.06,1,,historical_link
京东,W02865,贵和祥大药房旗舰店,贵和祥大药房旗舰店,依伦平,厄贝沙坦氢氯噻嗪片,0.15g:12.5mg*28片,10051721495577,,https://item.jd.com/10051721495577.html,28.56,28.56,1,,historical_link
京东,W02865,贵和祥大药房旗舰店,贵和祥大药房旗舰店,天依宁,氨氯地平阿托伐他汀钙片,10mg*7片,10143729353714,,https://item.jd.com/10143729353714.html,21,21,1,,historical_link
天猫/淘宝,W00001,阿里健康大药房,阿里健康大药房,托妥,瑞舒伐他汀钙片,10mg*28片,648878452873,,https://detail.tmall.com/item.htm?id=648878452873,21,21,1,,historical_link
天猫/淘宝,W00001,阿里健康大药房,阿里健康大药房,依伦平,厄贝沙坦氢氯噻嗪片,0.15g:12.5mg*28片,616813986176,,https://detail.tmall.com/item.htm?id=616813986176,26.4,26.4,1,,historical_link
天猫/淘宝,W00001,阿里健康大药房,阿里健康大药房,葛泰,地奥司明片,0.45g*24片,610185190310,,https://detail.tmall.com/item.htm?id=610185190310,21.1,21.1,1,,historical_link
天猫/淘宝,W00003,依伦平旗舰店,依伦平旗舰店,依伦平,厄贝沙坦氢氯噻嗪片,150mg:12.5mg*14片,674234987846,,https://detail.tmall.com/item.htm?id=674234987846,14.3,14.3,1,,historical_link
天猫/淘宝,W00003,依伦平旗舰店,依伦平旗舰店,欣速安,托伐普坦片,15mg*7片,674937001552,,https://detail.tmall.com/item.htm?id=674937001552,211.89,211.89,1,,historical_link
天猫/淘宝,W00003,依伦平旗舰店,依伦平旗舰店,葛泰,地奥司明片,0.45g*20片,673188996607,,https://detail.tmall.com/item.htm?id=673188996607,20,20,1,,historical_link
天猫/淘宝,W01563,康药师大药房旗舰店,康药师大药房旗舰店,欣速安,托伐普坦片,15mg*7片,1016182328456,,https://detail.tmall.com/item.htm?id=1016182328456,142,142,1,,historical_link
天猫/淘宝,W01563,康药师大药房旗舰店,康药师大药房旗舰店,依伦平,厄贝沙坦氢氯噻嗪片,0.15g:12.5mg*28片,965221632170,,https://detail.tmall.com/item.htm?id=965221632170,18.6,18.6,1,,historical_link
天猫/淘宝,W01563,康药师大药房旗舰店,康药师大药房旗舰店,托妥,瑞舒伐他汀钙片,10mg*28片,953466798989,,https://detail.tmall.com/item.htm?id=953466798989,15.5,15.5,1,,historical_link
天猫/淘宝,W08152,健康福利社,健康福利社,托妥,瑞舒伐他汀钙片,10mg*14片,923425060525,,https://detail.tmall.com/item.htm?id=923425060525,9.44,9.44,1,,historical_link
天猫/淘宝,W08152,健康福利社,健康福利社,欣速安,托伐普坦片,15mg*7片,763642820935,,https://detail.tmall.com/item.htm?id=763642820935,200,200,1,,historical_link
天猫/淘宝,W08152,健康福利社,健康福利社,葛泰,地奥司明片,0.45g*20片,878870433980,,https://detail.tmall.com/item.htm?id=878870433980,18.96,18.96,1,,historical_link
天猫/淘宝,W04612,康付甄选大药房旗舰店,康付甄选大药房旗舰店,托妥,瑞舒伐他汀钙片,10mg*14片,911255358168,,https://detail.tmall.com/item.htm?id=911255358168,8.95,8.95,1,,historical_link
天猫/淘宝,W04612,康付甄选大药房旗舰店,康付甄选大药房旗舰店,葛泰,地奥司明片,0.45g*20片,911634773229,,https://detail.tmall.com/item.htm?id=911634773229,17.8,17.8,1,,historical_link
天猫/淘宝,W04612,康付甄选大药房旗舰店,康付甄选大药房旗舰店,畅凡,芦比前列酮软胶囊,24μg*28粒,910387235111,,https://detail.tmall.com/item.htm?id=910387235111,164.64,164.64,1,,historical_link
天猫/淘宝,W00002,阿里健康医药旗舰店,阿里健康医药旗舰店,欣速安,托伐普坦片,15mg*7片,675186718493,,https://detail.tmall.com/item.htm?id=675186718493,185.89,185.89,1,,historical_link
天猫/淘宝,W00002,阿里健康医药旗舰店,阿里健康医药旗舰店,依伦平,厄贝沙坦氢氯噻嗪片,0.15g:12.5mg*28片,641806150546,,https://detail.tmall.com/item.htm?id=641806150546,26.4,26.4,1,,historical_link
天猫/淘宝,W00002,阿里健康医药旗舰店,阿里健康医药旗舰店,托妥,瑞舒伐他汀钙片,10mg*14片,642902251794,,https://detail.tmall.com/item.htm?id=642902251794,10.5,10.5,1,,historical_link
天猫/淘宝,W03570,江苏省医药大药房旗舰店,江苏省医药大药房旗舰店,葛泰,地奥司明片,0.45g*20片,836393392908,,https://detail.tmall.com/item.htm?id=836393392908,16.9,16.9,1,,historical_link
天猫/淘宝,W03570,江苏省医药大药房旗舰店,江苏省医药大药房旗舰店,欣速安,托伐普坦片,15mg*7片,760136629110,,https://detail.tmall.com/item.htm?id=760136629110,200,200,1,,historical_link
天猫/淘宝,W03570,江苏省医药大药房旗舰店,江苏省医药大药房旗舰店,托妥,瑞舒伐他汀钙片,10mg*28片,870417904774,,https://detail.tmall.com/item.htm?id=870417904774,19,19,1,,historical_link
天猫/淘宝,W00263,安和健大药房旗舰店,安和健大药房旗舰店,欣速安,托伐普坦片,15mg*7片,735483825228,,https://detail.tmall.com/item.htm?id=735483825228,195,195,1,,historical_link
天猫/淘宝,W00263,安和健大药房旗舰店,安和健大药房旗舰店,葛泰,地奥司明片,0.45g*24片,730757302615,,https://detail.tmall.com/item.htm?id=730757302615,33,33,1,,historical_link
天猫/淘宝,W00263,安和健大药房旗舰店,安和健大药房旗舰店,依伦平,厄贝沙坦氢氯噻嗪片,0.15g:12.5mg*28片,731011842250,,https://detail.tmall.com/item.htm?id=731011842250,32,32,1,,historical_link
天猫/淘宝,W03554,奇冠大药房旗舰店,奇冠大药房旗舰店,葛泰,地奥司明片,0.45g*24片,576003277874,,https://detail.tmall.com/item.htm?id=576003277874,240,24,10,,historical_link
天猫/淘宝,W03554,奇冠大药房旗舰店,奇冠大药房旗舰店,欣速安,托伐普坦片,15mg*7片,692276448751,,https://detail.tmall.com/item.htm?id=692276448751,211.89,211.89,1,,historical_link
天猫/淘宝,W03554,奇冠大药房旗舰店,奇冠大药房旗舰店,托妥,瑞舒伐他汀钙片,10mg*28片,820127579224,,https://detail.tmall.com/item.htm?id=820127579224,16.8,16.8,1,,historical_link
天猫/淘宝,W04566,上元堂大药房旗舰店,上元堂大药房旗舰店,葛泰,地奥司明片,0.45g*24片,708364294118,,https://detail.tmall.com/item.htm?id=708364294118,24,24,1,,historical_link
天猫/淘宝,W04566,上元堂大药房旗舰店,上元堂大药房旗舰店,托妥,瑞舒伐他汀钙片,10mg*28片,724641013687,,https://detail.tmall.com/item.htm?id=724641013687,16.8,16.8,1,,historical_link
天猫/淘宝,W04566,上元堂大药房旗舰店,上元堂大药房旗舰店,依伦平,厄贝沙坦氢氯噻嗪片,0.15g:12.5mg*28片,612586557167,,https://detail.tmall.com/item.htm?id=612586557167,23.8,23.8,1,,historical_link
