记录ID,采集批次ID,药品ID,平台,搜索关键词,搜索排名,商品ID,店铺名称,商品链接,商品标题,列表原始价格,候选类型,规格核验状态,责任店匹配状态,是否正式价格,判定原因,原始候选数据,发现时间
9384f58b-e263-49c0-902c-f006277ebc87,b8df9543-ab50-4a18-b9da-028092fad58f,1e5b4814-f3bf-45dd-8da1-19b19f6a1ca9,taobao,托妥 瑞舒伐他汀钙片,16,1024241619821,百年传徽医药专营店,https://item.taobao.com/item.htm?id=1024241619821,苗易堂 龋齿宁含片 0.5g*16片/盒,,not_match,pending_detail_verification,matched,False,标题不包含目标品牌或通用名,"{""route"": ""shop_home"", ""shop_home_url"": ""https://shop202802473.taobao.com/""}",2026-07-20 10:27:24.880179
97af4cb0-7f9e-4f17-b693-1aebedd27f31,b8df9543-ab50-4a18-b9da-028092fad58f,1e5b4814-f3bf-45dd-8da1-19b19f6a1ca9,taobao,托妥 瑞舒伐他汀钙片,18,1026612956208,百年传徽医药专营店,https://item.taobao.com/item.htm?id=1026612956208,聚荣 黄芪精10ml*40支无糖型 补血养气固本止汗气虚血亏四肢乏力,,not_match,pending_detail_verification,matched,False,标题不包含目标品牌或通用名,"{""route"": ""shop_home"", ""shop_home_url"": ""https://shop202802473.taobao.com/""}",2026-07-20 10:27:24.880181
fd8b24a2-4c90-4a0e-810d-67176bc780eb,b8df9543-ab50-4a18-b9da-028092fad58f,1e5b4814-f3bf-45dd-8da1-19b19f6a1ca9,taobao,托妥 瑞舒伐他汀钙片,20,1048360076899,百年传徽医药专营店,https://item.taobao.com/item.htm?id=1048360076899,金马神 消炎镇痛膏 8cm*13cm*8贴/盒,,not_match,pending_detail_verification,matched,False,标题不包含目标品牌或通用名,"{""route"": ""shop_home"", ""shop_home_url"": ""https://shop202802473.taobao.com/""}",2026-07-20 10:27:24.880183
7342a903-e4f0-4d89-9b79-041f3a682606,b8df9543-ab50-4a18-b9da-028092fad58f,1e5b4814-f3bf-45dd-8da1-19b19f6a1ca9,taobao,托妥 瑞舒伐他汀钙片,22,1050864818731,百年传徽医药专营店,https://item.taobao.com/item.htm?id=1050864818731,【修正】格平 厄贝沙坦片 0.15g*10片/盒,,not_match,pending_detail_verification,matched,False,标题不包含目标品牌或通用名,"{""route"": ""shop_home"", ""shop_home_url"": ""https://shop202802473.taobao.com/""}",2026-07-20 10:27:24.880185
f89fd130-8904-4faa-9dfe-44d9db227078,b8df9543-ab50-4a18-b9da-028092fad58f,1e5b4814-f3bf-45dd-8da1-19b19f6a1ca9,taobao,托妥 瑞舒伐他汀钙片,24,1052734108891,百年传徽医药专营店,https://item.taobao.com/item.htm?id=1052734108891,【修正】贞芪扶正颗粒 15g*10袋/盒,,not_match,pending_detail_verification,matched,False,标题不包含目标品牌或通用名,"{""route"": ""shop_home"", ""shop_home_url"": ""https://shop202802473.taobao.com/""}",2026-07-20 10:27:24.880187
649d6dd0-8ffb-404a-a3df-bad8bf5d4bad,b8df9543-ab50-4a18-b9da-028092fad58f,1e5b4814-f3bf-45dd-8da1-19b19f6a1ca9,taobao,托妥 瑞舒伐他汀钙片,26,1052737592456,百年传徽医药专营店,https://item.taobao.com/item.htm?id=1052737592456,【修正】格平 厄贝沙坦片 0.15g*30片/盒,,not_match,pending_detail_verification,matched,False,标题不包含目标品牌或通用名,"{""route"": ""shop_home"", ""shop_home_url"": ""https://shop202802473.taobao.com/""}",2026-07-20 10:27:24.880189
4b9ae21a-aec8-425b-9cce-c1c3dbcf2168,b8df9543-ab50-4a18-b9da-028092fad58f,1e5b4814-f3bf-45dd-8da1-19b19f6a1ca9,taobao,托妥 瑞舒伐他汀钙片,28,1056982570137,百年传徽医药专营店,https://item.taobao.com/item.htm?id=1056982570137,金马神 消炎镇痛膏 8cm*13cm*8片/盒,,not_match,pending_detail_verification,matched,False,标题不包含目标品牌或通用名,"{""route"": ""shop_home"", ""shop_home_url"": ""https://shop202802473.taobao.com/""}",2026-07-20 10:27:24.880191
54b8221b-3802-4c42-a3e4-b0349a55dc47,b8df9543-ab50-4a18-b9da-028092fad58f,1e5b4814-f3bf-45dd-8da1-19b19f6a1ca9,taobao,托妥 瑞舒伐他汀钙片,30,1057126938718,百年传徽医药专营店,https://item.taobao.com/item.htm?id=1057126938718,本天通 盐酸倍他司汀口服液 10ml*10支/盒 大药房正品保障RX 新效期至28年2月,,not_match,pending_detail_verification,matched,False,标题不包含目标品牌或通用名,"{""route"": ""shop_home"", ""shop_home_url"": ""https://shop202802473.taobao.com/""}",2026-07-20 10:27:24.880193
b7a638e7-4942-428a-9071-e40d3088d909,b8df9543-ab50-4a18-b9da-028092fad58f,1e5b4814-f3bf-45dd-8da1-19b19f6a1ca9,taobao,托妥 瑞舒伐他汀钙片,32,1059046908883,百年传徽医药专营店,https://item.taobao.com/item.htm?id=1059046908883,九泰坤宝 甲硝唑呋喃唑酮栓 5枚/盒 药房现货保密发货 正品保证 多盒更优惠 新效期至28年1月,,not_match,pending_detail_verification,matched,False,标题不包含目标品牌或通用名,"{""route"": ""shop_home"", ""shop_home_url"": ""https://shop202802473.taobao.com/""}",2026-07-20 10:27:24.880195
ffe53d56-cc41-4b16-aa2f-4cf1e84fa77a,b8df9543-ab50-4a18-b9da-028092fad58f,1e5b4814-f3bf-45dd-8da1-19b19f6a1ca9,taobao,托妥 瑞舒伐他汀钙片,2,975079107364,百年传徽医药专营店,https://item.taobao.com/item.htm?id=975079107364,修正 紫丹活血胶囊 0.3g*12粒/盒,,not_match,pending_detail_verification,matched,False,标题不包含目标品牌或通用名,"{""route"": ""shop_home"", ""shop_home_url"": ""https://shop202802473.taobao.com/""}",2026-07-20 10:27:24.880156
1b8b66a0-9a6e-4113-869f-f78f84241401,b8df9543-ab50-4a18-b9da-028092fad58f,1e5b4814-f3bf-45dd-8da1-19b19f6a1ca9,taobao,托妥 瑞舒伐他汀钙片,4,975178814032,百年传徽医药专营店,https://item.taobao.com/item.htm?id=975178814032,信立泰 信立坦 阿利沙坦酯片 240mg*7片/盒,,not_match,pending_detail_verification,matched,False,标题不包含目标品牌或通用名,"{""route"": ""shop_home"", ""shop_home_url"": ""https://shop202802473.taobao.com/""}",2026-07-20 10:27:24.880164
46327688-7528-4fce-b222-32207ad3e9de,b8df9543-ab50-4a18-b9da-028092fad58f,1e5b4814-f3bf-45dd-8da1-19b19f6a1ca9,taobao,托妥 瑞舒伐他汀钙片,6,976313221434,百年传徽医药专营店,https://item.taobao.com/item.htm?id=976313221434,【羊妈咪】羔羊胃提取物维B12颗粒 1g*6袋/盒,,not_match,pending_detail_verification,matched,False,标题不包含目标品牌或通用名,"{""route"": ""shop_home"", ""shop_home_url"": ""https://shop202802473.taobao.com/""}",2026-07-20 10:27:24.880167
74f26181-ac1a-4172-832b-829788d3db4a,b8df9543-ab50-4a18-b9da-028092fad58f,1e5b4814-f3bf-45dd-8da1-19b19f6a1ca9,taobao,托妥 瑞舒伐他汀钙片,8,976339305569,百年传徽医药专营店,https://item.taobao.com/item.htm?id=976339305569,伟安泰 香药胃安片 0.3g*18片/盒,,not_match,pending_detail_verification,matched,False,标题不包含目标品牌或通用名,"{""route"": ""shop_home"", ""shop_home_url"": ""https://shop202802473.taobao.com/""}",2026-07-20 10:27:24.880170
50a14166-7717-4bcb-8fe1-13eb583f8de5,b8df9543-ab50-4a18-b9da-028092fad58f,1e5b4814-f3bf-45dd-8da1-19b19f6a1ca9,taobao,托妥 瑞舒伐他汀钙片,10,977788393548,百年传徽医药专营店,https://item.taobao.com/item.htm?id=977788393548,【颐圣堂】养阴清肺颗粒 15g*8袋/盒,,not_match,pending_detail_verification,matched,False,标题不包含目标品牌或通用名,"{""route"": ""shop_home"", ""shop_home_url"": ""https://shop202802473.taobao.com/""}",2026-07-20 10:27:24.880172
00b32671-b692-4600-9bf3-5f872a68c8fd,b8df9543-ab50-4a18-b9da-028092fad58f,1e5b4814-f3bf-45dd-8da1-19b19f6a1ca9,taobao,托妥 瑞舒伐他汀钙片,12,980699672780,百年传徽医药专营店,https://item.taobao.com/item.htm?id=980699672780,东阿阿胶复方阿胶浆20ml*12支/盒,,not_match,pending_detail_verification,matched,False,标题不包含目标品牌或通用名,"{""route"": ""shop_home"", ""shop_home_url"": ""https://shop202802473.taobao.com/""}",2026-07-20 10:27:24.880175
4a20d468-6651-477c-aa4a-b22934b07191,b8df9543-ab50-4a18-b9da-028092fad58f,1e5b4814-f3bf-45dd-8da1-19b19f6a1ca9,taobao,托妥 瑞舒伐他汀钙片,14,996049743824,百年传徽医药专营店,https://item.taobao.com/item.htm?id=996049743824,【新疆生化】羔羊胃提取物维B12胶囊 60粒*1瓶/盒,,not_match,pending_detail_verification,matched,False,标题不包含目标品牌或通用名,"{""route"": ""shop_home"", ""shop_home_url"": ""https://shop202802473.taobao.com/""}",2026-07-20 10:27:24.880177
